"gene","rho","p.value"
"Il34",1,0
"D230025D16Rik",0.976190476190476,3.3143960262001e-05
"Eef2",0.976190476190476,3.3143960262001e-05
"Klhdc3",0.976190476190476,3.3143960262001e-05
"Polr1c",0.976190476190476,3.3143960262001e-05
"Btbd1",0.952380952380953,0.00026040002438725
"Lbp",0.952380952380953,0.00026040002438725
"Lsm1",0.952380952380953,0.00026040002438725
"Mt1",0.952380952380953,0.00026040002438725
"Nkiras1",0.952380952380953,0.00026040002438725
"Sec14l2",0.952380952380953,0.00026040002438725
"Top3a",0.952380952380953,0.00026040002438725
"Trmt1",0.952380952380953,0.00026040002438725
"Zfp330",0.952380952380953,0.00026040002438725
"Dnajb4",0.928571428571429,0.000862968182899978
"E130308A19Rik",0.928571428571429,0.000862968182899978
"Foxred1",0.928571428571429,0.000862968182899978
"Itga6",0.928571428571429,0.000862968182899978
"Rplp2",0.928571428571429,0.000862968182899978
"Secisbp2l",0.928571428571429,0.000862968182899978
"Stx12",0.928571428571429,0.000862968182899978
"Tmco6",0.928571428571429,0.000862968182899978
"Tmem165",0.928571428571429,0.000862968182899978
"Tmem198b",0.928571428571429,0.000862968182899978
"Use1",0.928571428571429,0.000862968182899978
"Ypel3",0.928571428571429,0.000862968182899978
"4833439L19Rik",0.904761904761905,0.00200827550542945
"Ace2",0.904761904761905,0.00200827550542945
"Anapc4",0.904761904761905,0.00200827550542945
"B4galt3",0.904761904761905,0.00200827550542945
"Bsdc1",0.904761904761905,0.00200827550542945
"Dnajb12",0.904761904761905,0.00200827550542945
"Erap1",0.904761904761905,0.00200827550542945
"Exosc7",0.904761904761905,0.00200827550542945
"Flcn",0.904761904761905,0.00200827550542945
"Glyr1",0.904761904761905,0.00200827550542945
"Ints9",0.904761904761905,0.00200827550542945
"Lrif1",0.904761904761905,0.00200827550542945
"Lrig1",0.904761904761905,0.00200827550542945
"Nol9",0.904761904761905,0.00200827550542945
"Oxld1",0.904761904761905,0.00200827550542945
"Ranbp9",0.904761904761905,0.00200827550542945
"Rplp1",0.904761904761905,0.00200827550542945
"Soat1",0.904761904761905,0.00200827550542945
"Zdhhc24",0.904761904761905,0.00200827550542945
"1110007C09Rik",0.880952380952381,0.0038503204637324
"Actr8",0.880952380952381,0.0038503204637324
"Btg1",0.880952380952381,0.0038503204637324
"Camk2b",0.880952380952381,0.0038503204637324
"Ccdc141",0.880952380952381,0.0038503204637324
"Cd320",0.880952380952381,0.0038503204637324
"Clk1",0.880952380952381,0.0038503204637324
"Dok4",0.880952380952381,0.0038503204637324
"Dph3",0.880952380952381,0.0038503204637324
"Eif4e2",0.880952380952381,0.0038503204637324
