"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007033","vacuole organization","46/1342","273/25730",0.168498168498169,3.23059454206995,8.69156466543416,1.78978831570329e-12,8.08420589229668e-09,6.20287475682849e-09,"Arf1/Atg13/Atg4b/Atg7/Atp13a2/Bag3/Chmp1a/Chmp2a/Chmp2b/Chmp7/Cln3/Cln5/Creg1/Ep300/Flcn/Fnip1/Gabarapl2/Hook2/Hps4/Hspa8/Lamp1/Lrrk2/Map1lc3b/Mtmr3/Nupr1/Pik3c2a/Pink1/Ppt1/Rab43/Rab7/Snapin/Spns1/Stx12/Stx17/Tmem106b/Tmem165/Tmem41b/Tpp1/Trp53inp1/Ulk1/Ulk3/Vps16/Vps35/Wdr45/Wipi1/Ywhaz",46
"GO:0031647","regulation of protein stability","55/1342","372/25730",0.147849462365591,2.83469945355191,8.36139077660239,2.9574559693787e-12,8.08420589229668e-09,6.20287475682849e-09,"Atp1b1/B4galt5/Bag3/Cblc/Cbx4/Cd81/Cdk7/Cfp/Chp1/Cul3/Dcaf11/Ddi2/Ep300/Fbxl3/Fbxw7/Flcn/Fnip1/Hdac6/Hps4/Hspa8/Ifi30/Lamp1/Lrrk2/Lss/Mapk8ip3/Nckap1/Ncln/Nlk/Pak4/Pdcd10/Pex2/Pim1/Pink1/Ptges3/Pycard/Rabl3/Rassf2/Rpl5/Sav1/Serf1/Serf2/Siah1b/Snca/Srebf1/Stx12/Swsap1/Tada2a/Usp19/Usp30/Usp35/Usp40/Usp42/Vps35/Wdr81/Ywhaz",55
"GO:0016236","macroautophagy","53/1342","359/25730",0.147632311977716,2.8305360560258,8.19325246750814,7.79413311562908e-12,1.42035085810481e-08,1.0898112444134e-08,"Atg13/Atg4b/Atg7/Atp13a2/Atp6v0a1/Bag3/Chmp1a/Chmp2a/Chmp2b/Chmp7/Cln3/Elp6/Ep300/Fbxw7/Fkbp8/Gabarapl2/Hdac6/Lrrk2/Map1lc3b/Mtmr3/Npc1/Nrbp2/Nupr1/Pex2/Pik3c2a/Pink1/Plaa/Plekhm1/Poldip2/Rab43/Rab7/Ripk2/Slc25a5/Snapin/Sptlc2/Sqstm1/Srebf1/Stx12/Stx17/Tmem41b/Trp53inp1/Ubxn6/Ulk1/Ulk3/Usp30/Vamp8/Vps16/Wac/Wdfy3/Wdr45/Wdr81/Wipi1/Znrf1",53
"GO:0007264","small GTPase-mediated signal transduction","61/1342","461/25730",0.132321041214751,2.53697495563005,7.81129148403654,2.38556603146543e-11,3.26047237350538e-08,2.50170543036572e-08,"Arhgap1/Arhgap29/Arhgap44/Arhgef18/Arhgef2/Arhgef28/Auts2/Baiap2/Bcar3/Brap/Cbl/Cdc42bpa/Cdc42ep1/Csnk1e/Ctnnal1/Cul3/Cyth3/Dnm2/Dvl2/Eps8l1/Eps8l2/Erbb2/F11r/Flcn/Garnl3/Gdi1/Git1/Gmip/Iqsec1/Itsn1/Kank1/Lrrk2/Map2k1/Nckap1/Nkiras1/Notch2/Pik3cb/Plekhg5/Psd/Rab35/Rabl3/Rac3/Rala/Ralbp1/Ralgapa2/Ralgps1/Rap1gap/Rap2c/Rapgef3/Rasgef1a/Rfxank/Rhog/Rit1/Rock1/Sdcbp/Sema4d/Sos2/Spry2/Stmn1/Ulk1/Vav2",61
"GO:0010506","regulation of autophagy","49/1342","328/25730",0.149390243902439,2.86424066736942,7.97084863200361,3.12315777658068e-11,3.41486071291332e-08,2.62016499782611e-08,"Akt1/Atg13/Atg7/Atp13a2/Atp6v0a1/Bag3/Ccny/Cdk16/Cln3/Depdc5/Dram2/Eif4g2/Ep300/Fbxw7/Fkbp8/Flcn/Fn1/Gpr137/Hdac6/Hmgb1/Klhl22/Lrrk2/Map2k1/Mlst8/Mtdh/Npc1/Nrbp2/Nupr1/Pik3c2a/Pink1/Poldip2/Pycard/Ripk2/Rock1/Slc25a5/Snca/Sptlc2/Sqstm1/Srebf1/Stat3/Trim65/Trim8/Trp53inp1/Ulk1/Ulk3/Usp30/Wac/Wdr45/Wipi1",49
"GO:0042594","response to starvation","41/1342","248/25730",0.165322580645161,3.16970938897168,8.05397488989757,5.28655277793837e-11,4.81693067283151e-08,3.69594961755867e-08,"Akt1/Asns/Atg4b/Atg7/Bnip1/Cbl/Cul3/Depdc5/Dnajc15/Flcn/Fnip1/Fos/Gabarapl2/Gas2l1/Hnrnpl/Hspa8/Jun/Klhl22/Lrrk2/Map1lc3b/Mapk1/Mat2a/Mtmr3/Nuak2/Pak4/Pex2/Pik3c2a/Pim1/Plin2/Ppm1d/Rpl17/Slc39a4/Srebf1/Srebf2/Tcf7l2/Ttc5/Ulk1/Ulk3/Wdr45/Wipi1/Ywhaz",41
"GO:0009267","cellular response to starvation","36/1342","206/25730",0.174757281553398,3.35059974245077,7.94579844909313,1.59486986170329e-10,1.24559336199027e-07,9.55722766750016e-08,"Akt1/Asns/Atg4b/Atg7/Cul3/Depdc5/Dnajc15/Flcn/Fnip1/Fos/Gabarapl2/Gas2l1/Hnrnpl/Jun/Klhl22/Lrrk2/Map1lc3b/Mapk1/Mat2a/Mtmr3/Nuak2/Pak4/Pik3c2a/Pim1/Plin2/Ppm1d/Rpl17/Slc39a4/Srebf1/Srebf2/Tcf7l2/Ttc5/Ulk1/Wdr45/Wipi1/Ywhaz",36
"GO:0016197","endosomal transport","44/1342","293/25730",0.150170648464164,2.87920326749846,7.58881983302525,2.65733648312508e-10,1.8159573191556e-07,1.3933534059544e-07,"Als2cl/Ankrd50/Ap1g1/Ap5s1/Arhgap1/Arhgap44/Bcl2l1/Bloc1s1/Chmp1a/Chmp2a/Chmp2b/Chmp7/Cln5/Dctn1/Dennd1b/Emp2/Gga1/Hook2/Inpp5f/Itsn1/Lmtk2/Lrrk2/Map2k1/Mapk1/Micall1/Mvb12a/Rab10/Rab35/Rab5b/Rab5c/Rab7/Rab8b/Rgp1/Snx2/Snx5/Stx12/Stx16/Tmcc1/Ube2o/Ubxn6/Vps16/Vps28/Vps35/Wdr81",44
"GO:0071453","cellular response to oxygen levels","36/1342","211/25730",0.170616113744076,3.27120164428843,7.77078179132395,3.1866675126722e-10,1.93572347686432e-07,1.48524795766067e-07,"Acaa2/Ajuba/Akt1/Aqp1/Aqp3/Atg7/Atp6v0a2/Atp6v0d1/Atp6v1g1/Bad/Bbc3/Cbl/Cited2/Egln2/Egr1/Ep300/Fos/Gnb1/Jun/Jund/Kcnk2/Map2k1/Mlst8/Ndnf/Npepps/Pdcd10/Pgk1/Pik3cb/Pink1/Polr2a/Ptpn1/Stat3/Usp19/Vegfa/Vldlr/Zfp36l1",36
"GO:0007005","mitochondrion organization","58/1342","457/25730",0.12691466083151,2.43331909328968,7.25224063241613,3.81894176897988e-10,2.0878154651013e-07,1.60194557361945e-07,"Acaa2/Afg3l1/Akt1/Atg7/Atp13a2/Atpaf2/Bad/Bax/Bbc3/Bcl2a1b/Bcl2l1/Cebpa/Chchd10/Chchd7/Col6a1/Cox10/Cox19/Ep300/Gabpb1/Gclm/Golph3/Gpx1/Hdac6/Higd2a/Ier3/Immp2l/Jun/Letm1/Lrrk2/Mff/Mtfp1/Mtx3/Myo19/Ndufaf2/Ndufaf3/Pank2/Pink1/Poldip2/Ptcd2/Pycard/Rala/Ralbp1/Rhot1/Rnf7/Romo1/Sdhaf2/Sharpin/Slc25a46/Slc25a5/Snca/Sod2/Stat3/Thg1l/Tmem242/Tmem70/Usp30/Vps35/Wdr81",58
