"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005774","vacuolar membrane","62/1347","393/25856",0.157760814249364,3.02825806475988,9.49856446761586,5.58890345404834e-15,3.64955395549356e-12,2.59442781393191e-12,"Ap1g1/Ap5s1/Arl8a/Atg4b/Atp13a2/Atp6v0a1/Atp6v0a2/Atp6v0b/Atp6v0d1/Atp6v1c2/Atp6v1g1/Atp6v1g3/Bloc1s1/Bri3/Cdip1/Chmp1a/Chmp2a/Chmp2b/Chmp7/Clcn3/Clcn7/Cln3/Cln5/Depdc5/Dram2/Eva1a/Flcn/Fnip1/Fnip2/Gabarapl2/Gpr137/Hps4/Hspa8/Lamp1/Lamtor3/Lamtor5/Map1lc3b/Mlst8/Npc1/Ostm1/Plekhm1/Ppt1/Rab7/Rictor/Sbf2/Slc38a7/Slc3a2/Slc48a1/Snapin/Spns1/Stx17/Tab2/Tmem106b/Tmem165/Tmem203/Ubxn6/Ulk1/Vamp8/Vps16/Wdfy3/Wdr81/Wipi1",62
"GO:0005765","lysosomal membrane","50/1347","333/25856",0.15015015015015,2.88216947459709,8.10416463706442,1.56536496733617e-11,3.40727774556841e-09,2.42219631787808e-09,"Ap1g1/Ap5s1/Arl8a/Atp13a2/Atp6v0d1/Atp6v1g1/Bloc1s1/Bri3/Cdip1/Chmp1a/Chmp2a/Chmp2b/Chmp7/Clcn3/Clcn7/Cln3/Cln5/Depdc5/Dram2/Eva1a/Flcn/Fnip1/Fnip2/Gpr137/Hps4/Hspa8/Lamp1/Lamtor3/Lamtor5/Mlst8/Npc1/Ostm1/Plekhm1/Ppt1/Rab7/Rictor/Slc38a7/Slc3a2/Slc48a1/Snapin/Spns1/Stx17/Tab2/Tmem106b/Tmem165/Tmem203/Ubxn6/Vamp8/Vps16/Wdr81",50
"GO:0098852","lytic vacuole membrane","50/1347","333/25856",0.15015015015015,2.88216947459709,8.10416463706442,1.56536496733617e-11,3.40727774556841e-09,2.42219631787808e-09,"Ap1g1/Ap5s1/Arl8a/Atp13a2/Atp6v0d1/Atp6v1g1/Bloc1s1/Bri3/Cdip1/Chmp1a/Chmp2a/Chmp2b/Chmp7/Clcn3/Clcn7/Cln3/Cln5/Depdc5/Dram2/Eva1a/Flcn/Fnip1/Fnip2/Gpr137/Hps4/Hspa8/Lamp1/Lamtor3/Lamtor5/Mlst8/Npc1/Ostm1/Plekhm1/Ppt1/Rab7/Rictor/Slc38a7/Slc3a2/Slc48a1/Snapin/Spns1/Stx17/Tab2/Tmem106b/Tmem165/Tmem203/Ubxn6/Vamp8/Vps16/Wdr81",50
"GO:0044391","ribosomal subunit","34/1347","190/25856",0.178947368421053,3.43493924119877,7.89730856723322,2.58305334606554e-10,4.216834587452e-08,2.99770138319712e-08,"Mrpl16/Mrpl20/Mrpl22/Mrpl37/Mrpl47/Mrpl49/Mrps11/Mrps18c/Mrps21/Mrps26/Mrps27/Mrps7/Rpl17/Rpl18/Rpl18a/Rpl21/Rpl30/Rpl35/Rpl35a/Rpl37a/Rpl41/Rpl5/Rpl7/Rplp1/Rplp2/Rps15/Rps18/Rps19/Rps2/Rps25/Rps27l/Rps29/Rps3a1/Rps4x",34
"GO:0005759","mitochondrial matrix","53/1347","398/25856",0.133165829145729,2.55615120890272,7.33456670087963,3.71010179131439e-10,4.8453929394566e-08,3.44453661046242e-08,"Acaa2/Acads/Acot13/Alas2/Bcl2l1/Bloc1s1/Coasy/Cox10/Cpt2/Dld/Dlst/Dnajc15/Eci1/Fdps/Gcdh/Grpel2/Gstk1/Gstz1/Hspe1/Iba57/Iscu/Lrpprc/Lrrk2/Mccc1/Mocs1/Mrpl16/Mrpl20/Mrpl22/Mrpl37/Mrpl47/Mrpl49/Mrps11/Mrps18c/Mrps21/Mrps26/Mrps27/Mrps7/Mthfd1l/Mthfd2/Nadk2/Pgk1/Pmpca/Poldip2/Prdx1/Ptpn1/Sdhaf2/Shc1/Sirt5/Slc25a5/Snca/Sod2/Top1mt/Ttc5",53
"GO:0022626","cytosolic ribosome","26/1347","123/25856",0.211382113821138,4.05753224570108,7.96840986868785,8.12254864224528e-10,8.84004043897694e-08,6.28428763373713e-08,"Eef1a1/Ltn1/Nemf/Rpl17/Rpl18/Rpl18a/Rpl21/Rpl30/Rpl35/Rpl35a/Rpl37a/Rpl41/Rpl5/Rpl7/Rplp1/Rplp2/Rps15/Rps18/Rps19/Rps2/Rps25/Rps27l/Rps29/Rps3a1/Rps4x/Zfp598",26
"GO:0005776","autophagosome","25/1347","119/25856",0.210084033613445,4.0326152732808,7.77329429552123,1.95820286633263e-09,1.82672353102173e-07,1.2985976903048e-07,"Atg13/Atg4b/Atp13a2/Chmp1a/Chmp2a/Chmp2b/Chmp7/Cln3/Ftl1/Gabarapl2/Hspa8/Lamp1/Lrrk2/Map1lc3b/Peg3/Rab7/Sqstm1/Stx17/Trp53inp1/Ulk1/Ulk3/Vps16/Wdfy3/Wdr81/Wipi1",25
"GO:0005840","ribosome","40/1347","281/25856",0.142348754448399,2.73241974388849,6.84528818237212,7.95330958190049e-09,6.49188894622628e-07,4.61501253370805e-07,"Abcf1/Eef1a1/Ltn1/Mrpl16/Mrpl20/Mrpl22/Mrpl37/Mrpl47/Mrpl49/Mrps11/Mrps18c/Mrps21/Mrps26/Mrps27/Mrps7/Nemf/Rpl17/Rpl18/Rpl18a/Rpl21/Rpl30/Rpl35/Rpl35a/Rpl37a/Rpl41/Rpl5/Rpl7/Rplp1/Rplp2/Rps15/Rps18/Rps19/Rps2/Rps25/Rps27l/Rps29/Rps3a1/Rps4x/Snca/Zfp598",40
"GO:0005770","late endosome","42/1347","320/25856",0.13125,2.51937639198218,6.41146390149476,3.72040419025047e-08,2.6993599291484e-06,1.91894531918182e-06,"Ankrd13a/Ap5s1/Arf1/Arl8a/Atp13a2/Bst2/Cdip1/Chmp1a/Chmp2a/Chmp2b/Chmp7/Clcn3/Cln3/Cst3/Hspa8/Lamp1/Lamtor3/Lamtor5/Ldlr/Lgmn/Lrrk2/Map2k1/Mapk1/Micall1/Mvb12a/Npc1/Plekhm1/Rab27a/Rab7/Slc9a8/Sqstm1/Stard3/Stard3nl/Tmem106b/Ubxn6/Unc13d/Vamp8/Vps16/Vps28/Vps35/Wdr48/Wdr81",42
"GO:0031902","late endosome membrane","28/1347","172/25856",0.162790697674419,3.12480792803992,6.55459472233829,7.96591377030663e-08,5.20174169201023e-06,3.69786102390024e-06,"Ap5s1/Arl8a/Atp13a2/Cdip1/Chmp1a/Chmp2a/Chmp2b/Chmp7/Clcn3/Cln3/Lamp1/Lamtor3/Lamtor5/Micall1/Mvb12a/Npc1/Plekhm1/Rab27a/Rab7/Slc9a8/Stard3/Stard3nl/Tmem106b/Ubxn6/Vamp8/Vps16/Vps28/Wdr81",28
"GO:0000421","autophagosome membrane","15/1347","56/25856",0.267857142857143,5.14158447343303,7.27350861155607,1.12742063816566e-07,6.69277887929249e-06,4.75782298020148e-06,"Atg4b/Atp13a2/Chmp1a/Chmp2a/Chmp2b/Chmp7/Gabarapl2/Lamp1/Map1lc3b/Rab7/Stx17/Ulk1/Wdfy3/Wdr81/Wipi1",15
"GO:0031252","cell leading edge","54/1347","488/25856",0.110655737704918,2.12406440541823,5.87694011263644,1.63208754935569e-07,8.88127641441057e-06,6.31360183566545e-06,"Abca7/Actn1/Ajuba/Appl2/Arf1/Arhgap1/Arhgap44/Arhgef2/Atn1/Baiap2/Cdc42bpa/Clasp2/Cyth3/Dctn1/Dnm2/Dpp9/Eef1a1/Enah/Eps8l1/Eps8l2/Erbb2/Gabre/Git1/Hdac6/Inpp5e/Itsn1/Kank1/Kcnc3/Klhl2/Mapk8ip3/Nckap1/Pabpc4/Pde9a/Phpt1/Piezo1/Pip5k1c/Plekhg5/Plekhh2/Plekho1/Psd/Ptpn13/Pxn/Rac3/Rapgef3/Rasa1/Rock1/S100a6/Scyl3/Slc9a5/Snx2/Snx5/Spry2/Tmod3/Ywhaz",54
"GO:0030135","coated vesicle","35/1347","257/25856",0.136186770428016,2.61413892812678,6.09662167814225,2.02836447917818e-07,1.01886308069489e-05,7.2429857110735e-06,"Ap1g1/Ap2b1/Arf1/Atp6v0a1/Atp6v0b/Atp6v0d1/Bnip1/Cnih4/Copg2/Copz2/Dennd1b/Dnm2/Dvl2/Ergic3/Gpr107/Inpp5f/Kdelr2/Lyz1/Pacs1/Pik3c2a/Rab27a/Rab35/Rab8b/Rgs19/Spg21/Srebf1/Srebf2/Stx17/Tmed10/Tmed6/Tmed7/Unc13d/Vamp2/Vps16/Wipi1",35
"GO:0005769","early endosome","50/1347","456/25856",0.109649122807018,2.10474218210709,5.57981465143332,6.11273711625235e-07,2.80074934575477e-05,1.99102194161014e-05,"Abca7/Ap1g1/Ap3s1/Appl2/Atp6v0d1/Bloc1s1/Chmp1a/Clcn3/Clcn5/Cln3/Eea1/Erbb2/Fzd5/Gga1/Gpr107/Hmgb1/Hyal3/Inpp5b/Inpp5f/Ldlr/Lmtk2/Map2k1/Mapk1/Mgrn1/Mmgt1/Nipa2/Plekhf2/Ppp1r21/Ptpn1/Rab5b/Rab5c/Rap1gap/Siah1b/Snx19/Snx2/Snx21/Snx5/Sorcs2/Stx12/Tlr3/Tollip/Trim3/Trio/Ubxn6/Vamp8/Vps16/Vps28/Vps35/Wdfy1/Wdr81",50
"GO:1904949","ATPase complex","22/1347","127/25856",0.173228346456693,3.32516119226745,6.15795833075036,6.43357430112121e-07,2.80074934575477e-05,1.99102194161014e-05,"Atp6v0a1/Atp6v0a2/Atp6v0b/Atp6v0d1/Atp6v0e/Atp6v1c2/Atp6v1g1/Atp6v1g3/Bcl7b/Cecr2/Gon4l/Hmgxb4/Ino80b/Ino80c/Mcrs1/Mta2/Mta3/Pole3/Smarcd3/Srcap/Ss18l1/Tfpt",22
"GO:0030133","transport vesicle","49/1347","448/25856",0.109375,2.09948032665182,5.50344337572869,8.49601407770511e-07,3.4674357454634e-05,2.46496197912365e-05,"Ap1g1/Ap2b1/Ap3s1/Atp13a2/Atp6v0a1/Atp6v0d1/Atp6v1g1/Atp6v1g3/Bcl2l1/Cdk16/Chp1/Clcn3/Clcn5/Cln3/Cops5/Hspa8/Ica1/Iqsec1/Itpr1/Lamp1/Lgi3/Lrrk2/Lyz1/Map6/Mff/Plekhf2/Ppt1/Rab10/Rab27a/Rab35/Rab40c/Rab5b/Rab5c/Rab7/Rab8b/Slc6a9/Snapin/Snca/Spg21/Srebf1/Srebf2/Stx12/Stx16/Stx17/Tmed10/Tmed7/Unc13d/Vamp2/Znrf1",49
"GO:0044754","autolysosome","8/1347","20/25856",0.4,7.67809948032665,7.00403837869483,3.81308030329922e-06,0.000139249578812253,9.89909958188176e-05,"Cln3/Ftl1/Lamp1/Lrrk2/Map1lc3b/Plekhm1/Sqstm1/Stx17",8
"GO:0005767","secondary lysosome","9/1347","26/25856",0.346153846153846,6.64450916566729,6.75062411518405,3.83842636848476e-06,0.000139249578812253,9.89909958188176e-05,"Cln3/Ftl1/Lamp1/Lrrk2/Map1lc3b/Plekhm1/Slc48a1/Sqstm1/Stx17",9
"GO:0015935","small ribosomal subunit","15/1347","73/25856",0.205479452054795,3.94422918509931,5.90553968303889,4.38165053880736e-06,0.000150590410623221,0.000107053068565875,"Mrps11/Mrps18c/Mrps21/Mrps26/Mrps27/Mrps7/Rps15/Rps18/Rps19/Rps2/Rps25/Rps27l/Rps29/Rps3a1/Rps4x",15
"GO:0001726","ruffle","27/1347","198/25856",0.136363636363636,2.61753391374772,5.35633662268417,4.71812710457606e-06,0.000154046849964408,0.000109510213322002,"Abca7/Actn1/Appl2/Arhgap1/Arhgef2/Baiap2/Clasp2/Cyth3/Dnm2/Eef1a1/Eps8l1/Eps8l2/Erbb2/Inpp5e/Kank1/Klhl2/Nckap1/Pde9a/Pip5k1c/Plekho1/Psd/Rasa1/Rock1/S100a6/Snx5/Spry2/Tmod3",27
"GO:0030658","transport vesicle membrane","32/1347","258/25856",0.124031007751938,2.38080604041136,5.22555937625111,5.11873805293687e-06,0.000159168378503228,0.000113151051696499,"Ap1g1/Atp6v0a1/Atp6v0d1/Atp6v1g1/Atp6v1g3/Bcl2l1/Cdk16/Clcn3/Ica1/Itpr1/Lamp1/Lrrk2/Map6/Mff/Ppt1/Rab10/Rab35/Rab5b/Rab5c/Rab7/Slc6a9/Snapin/Snca/Srebf1/Srebf2/Stx12/Stx16/Stx17/Tmed10/Tmed7/Vamp2/Znrf1",32
"GO:0070382","exocytic vesicle","36/1347","312/25856",0.115384615384615,2.21483638855577,5.06108824025534,7.17661952985994e-06,0.000213015116045388,0.000151430105869293,"Ap2b1/Ap3s1/Atp6v0a1/Atp6v0d1/Atp6v1g1/Atp6v1g3/Bcl2l1/Cdk16/Clcn3/Clcn5/Cln3/Cops5/Hspa8/Ica1/Iqsec1/Lamp1/Lgi3/Lrrk2/Mff/Ppt1/Rab10/Rab27a/Rab35/Rab40c/Rab5b/Rab5c/Rab7/Rab8b/Slc6a9/Snapin/Snca/Stx12/Stx16/Unc13d/Vamp2/Znrf1",36
