"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","structural constituent of ribosome","33/1335","205/23909",0.160975609756098,2.88297067689778,6.58442210526342,3.94082769772662e-08,4.23244894735839e-05,3.52600372954487e-05,"Mrpl16/Mrpl20/Mrpl22/Mrpl37/Mrpl47/Mrpl49/Mrps11/Mrps18c/Mrps21/Mrps7/Rpl17/Rpl18/Rpl18a/Rpl21/Rpl30/Rpl35/Rpl35a/Rpl37a/Rpl41/Rpl5/Rpl7/Rplp1/Rplp2/Rps15/Rps18/Rps19/Rps2/Rps25/Rps27l/Rps29/Rps3a1/Rps4x/Ubb",33
"GO:0019787","ubiquitin-like protein transferase activity","54/1335","466/23909",0.11587982832618,2.07533394415779,5.70082508053947,3.20964837525994e-07,0.000172358117751459,0.000143589532577418,"Arel1/Arih1/Birc6/Brap/Cbl/Cblb/Cblc/Cbx4/Cul3/Dtx2/Fbxl3/Fbxw8/Hdac6/Klhl20/Lnx2/Ltn1/Mex3c/Mgrn1/Nhlrc3/Nosip/Pex2/Pias3/Rnf114/Rnf166/Rnf215/Rnf38/Rnf44/Rnf7/Sh3rf2/Sharpin/Siah1b/Sumo3/Topors/Trim11/Trim2/Trim25/Trim3/Trim65/Trim8/Ube2d2a/Ube2f/Ube2g1/Ube2j1/Ube2j2/Ube2o/Ube2r2/Ube2v1/Ube4b/Zfp451/Zfp598/Zmiz2/Znrf1/Znrf3/Zzef1",54
"GO:0030695","GTPase regulator activity","52/1335","451/23909",0.11529933481153,2.06493767491301,5.5523261306054,6.16813283405657e-07,0.000177240016380796,0.000147656585243239,"Agfg1/Agfg2/Als2cl/Arhgap1/Arhgap10/Arhgap29/Arhgap44/Arhgef1/Arhgef18/Arhgef2/Arhgef28/Bcar3/Cyth3/Dennd1b/Depdc5/Eif5/Eps8l1/Eps8l2/Flcn/Garnl3/Gdi1/Git1/Gmip/Hps4/Iqsec1/Itsn1/Jun/Lamtor3/Lamtor5/Lrrk2/Plekhg5/Psd/Ralbp1/Ralgapa2/Ralgps1/Ranbp10/Rap1gap/Rapgef3/Rasa1/Rasgef1a/Rgp1/Sbf1/Sbf2/Smap1/Sos2/Tbc1d15/Tbc1d20/Tbc1d24/Thg1l/Trio/Vav2/Vps9d1",52
"GO:0060589","nucleoside-triphosphatase regulator activity","52/1335","452/23909",0.115044247787611,2.06036922872957,5.53475110745239,6.60111792852128e-07,0.000177240016380796,0.000147656585243239,"Agfg1/Agfg2/Als2cl/Arhgap1/Arhgap10/Arhgap29/Arhgap44/Arhgef1/Arhgef18/Arhgef2/Arhgef28/Bcar3/Cyth3/Dennd1b/Depdc5/Eif5/Eps8l1/Eps8l2/Flcn/Garnl3/Gdi1/Git1/Gmip/Hps4/Iqsec1/Itsn1/Jun/Lamtor3/Lamtor5/Lrrk2/Plekhg5/Psd/Ralbp1/Ralgapa2/Ralgps1/Ranbp10/Rap1gap/Rapgef3/Rasa1/Rasgef1a/Rgp1/Sbf1/Sbf2/Smap1/Sos2/Tbc1d15/Tbc1d20/Tbc1d24/Thg1l/Trio/Vav2/Vps9d1",52
"GO:0016755","aminoacyltransferase activity","54/1335","482/23909",0.112033195020747,2.00644319082475,5.42828251425152,9.29250238579579e-07,0.000178705487090813,0.000148877451756533,"Arel1/Arih1/Birc6/Brap/Cbl/Cblb/Cblc/Cbx4/Cul3/Dtx2/Fbxl3/Fbxw8/Hdac6/Klhl20/Lnx2/Ltn1/Mex3c/Mgrn1/Nhlrc3/Nosip/Pex2/Pias3/Rnf114/Rnf166/Rnf215/Rnf38/Rnf44/Rnf7/Sh3rf2/Sharpin/Siah1b/Sumo3/Topors/Trim11/Trim2/Trim25/Trim3/Trim65/Trim8/Ube2d2a/Ube2f/Ube2g1/Ube2j1/Ube2j2/Ube2o/Ube2r2/Ube2v1/Ube4b/Zfp451/Zfp598/Zmiz2/Znrf1/Znrf3/Zzef1",54
"GO:0044389","ubiquitin-like protein ligase binding","43/1335","349/23909",0.123209169054441,2.2065977699795,5.52198960583528,9.98354676484989e-07,0.000178705487090813,0.000148877451756533,"Arih1/Blzf1/Cebpb/Cul3/Dnaja1/Erbb2/Faf1/Faf2/Fbxw7/Fzd5/Fzd8/Gabarapl2/Glmn/Hdac6/Hspa8/Jun/Lrpprc/Map1lc3b/Mfhas1/Nfkbia/Nlk/Pdlim2/Pink1/Polr2a/Prdx6/Prkaca/Psmd1/Rala/Rpl5/Slc25a5/Sqstm1/Sumo3/Tank/Tlr3/Tollip/Txnip/Ubb/Ubc/Ube2g1/Ube2j1/Ube2j2/Usp19/Ywhaz",43
"GO:0051020","GTPase binding","41/1335","337/23909",0.121661721068249,2.17888396181331,5.30024310400577,2.44230102538607e-06,0.00037471875732352,0.000312173815274911,"Als2cl/Ap1g1/Appl2/Arhgap1/Arhgap44/Arhgef2/Bcl2l1/Bicd2/Cdc42ep1/Cyfip2/Daam2/Dennd1b/Depdc5/Dvl2/Errfi1/Gdi1/Gga1/Git1/Gnb1/Hps4/Lrrk2/Map2k1/Map3k11/Mff/Micall1/Nckap1/Nup153/Prkaca/Rab7/Ralbp1/Ranbp10/Ranbp9/Rap1gap/Rasa1/Rgp1/Rock1/Tbc1d20/Ulk1/Unc13d/Vps9d1/Whamm",41
"GO:0031267","small GTPase binding","37/1335","296/23909",0.125,2.23867041198502,5.21475647240209,3.97049716452226e-06,0.000474084269651687,0.000394954061750401,"Als2cl/Ap1g1/Appl2/Arhgap1/Arhgap44/Arhgef2/Bicd2/Cdc42ep1/Cyfip2/Daam2/Dennd1b/Depdc5/Dvl2/Errfi1/Gdi1/Gga1/Git1/Hps4/Lrrk2/Map2k1/Map3k11/Micall1/Nckap1/Nup153/Prkaca/Rab7/Ralbp1/Ranbp10/Ranbp9/Rap1gap/Rgp1/Rock1/Tbc1d20/Ulk1/Unc13d/Vps9d1/Whamm",37
"GO:0031625","ubiquitin protein ligase binding","40/1335","332/23909",0.120481927710843,2.15775461396146,5.16593915419138,4.10267568583704e-06,0.000474084269651687,0.000394954061750401,"Arih1/Blzf1/Cul3/Dnaja1/Erbb2/Faf1/Faf2/Fbxw7/Fzd5/Fzd8/Gabarapl2/Glmn/Hdac6/Hspa8/Jun/Lrpprc/Map1lc3b/Mfhas1/Nfkbia/Nlk/Pdlim2/Pink1/Polr2a/Prdx6/Prkaca/Psmd1/Rala/Rpl5/Slc25a5/Sqstm1/Tank/Tollip/Txnip/Ubb/Ubc/Ube2g1/Ube2j1/Ube2j2/Usp19/Ywhaz",40
"GO:0003713","transcription coactivator activity","35/1335","274/23909",0.127737226277372,2.28769239180951,5.21335866074076,4.41419245485742e-06,0.000474084269651687,0.000394954061750401,"Actn1/Atn1/Calcoco1/Ccar1/Cited2/Cnot6/Cops5/Dcaf6/Dyrk1a/Ep300/Hmgb1/Jund/Jup/Lmo1/Lpin2/Maml1/Mta2/Mta3/Mtdh/Nkx2-1/Notch2/Nupr1/Phf2/Prdm16/Rap2c/Rrp1b/Smarcd3/Srcap/Ss18l1/Tada2a/Tcf20/Trim25/Trim8/Wbp2/Zmiz2",35
