"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","mmu04142","Lysosome biogenesis","43/685","253/11153",0.1699604743083,2.76725426271602,7.27337297639763,8.42276580364517e-10,2.77108994939926e-07,1.88847275386992e-07,"Ap1g1/Ap2b1/Ap3s1/Ap5s1/Arl8a/Atp6v0a1/Atp6v0a2/Atp6v0b/Atp6v0d1/Atp6v0e/Atp6v1c2/Atp6v1g1/Atp6v1g3/Bloc1s1/Clcn7/Cln3/Cln5/Ctsf/Ctso/Dnase2a/Gga1/Gnptg/Hyal3/Lamp1/Lamtor3/Lamtor5/Lgmn/Mlst8/Naga/Npc1/Npc2/Ostm1/Plekhm1/Ppt1/Rab7/Smpd1/Snapin/Stx17/Tlr3/Tpp1/Vamp8/Vps16/Vps35",43
"Cellular Processes","Transport and catabolism","mmu04140","Autophagy - animal","32/685","167/11153",0.191616766467066,3.11985663709078,7.06048831431524,6.46511062218323e-09,1.06351069734914e-06,7.24772927644751e-07,"Akt1/Atg13/Atg4b/Atg7/Bad/Bcl2l1/Birc6/Gabarapl2/Hmgb1/Itpr1/Lamp1/Map1lc3b/Map2k1/Mapk1/Mlst8/Mtmr3/Pik3cb/Plekhm1/Ppp2ca/Prkaca/Rab7/Sqstm1/Stx17/Tank/Ubb/Ubc/Ulk1/Vamp8/Vps16/Wdfy3/Wdr45/Wipi1",32
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","42/685","299/11153",0.140468227424749,2.28706881820179,5.77075004286878,3.71220304143327e-07,4.07104933543849e-05,2.77438332570276e-05,"Akt1/Cacna1a/Cdc25b/Csf1r/Dusp1/Dusp7/Dusp8/Ecsit/Erbb2/Fgfr2/Fos/Gadd45a/Gng12/Hspa8/Il1r1/Irak4/Jun/Jund/Lamtor3/Map2k1/Map3k11/Map3k8/Map4k2/Mapk1/Mapk13/Mapk8ip3/Mapkapk2/Max/Mknk2/Nfatc1/Nlk/Nr4a1/Ppm1b/Prkaca/Rac3/Rasa1/Sos2/Stmn1/Tab2/Tgfbr2/Vegfa/Vegfb",42
"Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection","25/685","136/11153",0.183823529411765,2.9929690854444,5.98174851804945,6.69570337233889e-07,5.50721602374874e-05,3.75311794291627e-05,"Akt1/Arhgef1/Arhgef28/Arpc1b/Arpc4/Baiap2/Fn1/Fos/Irak4/Jun/Map2k1/Mapk1/Mapk13/Nfatc1/Nfkbia/Pik3cb/Pip5k1b/Pip5k1c/Pxn/Pycard/Rac3/Rhog/Rock1/Tab2/Vav2",25
"Human Diseases","Cancer: specific types","mmu05212","Pancreatic cancer","17/685","76/11153",0.223684210526316,3.64197080291971,5.91171571327567,2.58812238215254e-06,0.000145112807917897,9.88930669861208e-05,"Akt1/Bad/Bax/Bcl2l1/Casp9/Erbb2/Gadd45a/Map2k1/Mapk1/Pik3cb/Polk/Rac3/Rala/Ralbp1/Stat3/Tgfbr2/Vegfa",17
"Cellular Processes","Transport and catabolism","mmu04137","Mitophagy - animal","20/685","101/11153",0.198019801980198,3.22410927224109,5.74362634107389,2.64643418695253e-06,0.000145112807917897,9.88930669861208e-05,"Arih1/Bcl2l1/Cited2/Fkbp8/Gabarapl2/Jun/Map1lc3b/Mtx3/Pink1/Rab5b/Rab5c/Rab7/Rhot1/Siah1b/Sqstm1/Tbc1d15/Ubb/Ubc/Ulk1/Usp30",20
"Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection","35/685","251/11153",0.139442231075697,2.27036380027336,5.20716921325885,4.15632913998363e-06,0.00019534746957923,0.000133127534859626,"Akt1/Arf1/Arl8a/Arpc1b/Arpc4/Bax/Cyfip2/Cyth3/Dctn1/Dnm2/Fadd/Fhod1/Fos/Irak4/Jun/Klc3/Map2k1/Mapk1/Mapk13/Myl12a/Nckap1/Nfkbia/Pik3c2a/Pik3cb/Plekhm1/Pycard/Rab5b/Rab5c/Rab7/Rala/Rhog/Ripk2/Tab2/Tcf7l2/Vps16",35
"Environmental Information Processing","Signal transduction","mmu04150","mTOR signaling pathway","25/685","158/11153",0.158227848101266,2.57622655455973,5.10433742015927,1.11086313514965e-05,0.000456842464330295,0.00031133401024589,"Akt1/Atp6v1c2/Atp6v1g1/Atp6v1g3/Depdc5/Dvl2/Eif4e/Flcn/Fnip1/Fnip2/Fzd5/Fzd8/Lamtor3/Lamtor5/Lpin2/Lrp5/Map2k1/Mapk1/Mlst8/Pik3cb/Rictor/Sgk1/Slc3a2/Sos2/Ulk1",25
"Cellular Processes","Transport and catabolism","mmu04144","Endocytosis","35/685","268/11153",0.130597014925373,2.12634818607691,4.7743653925391,1.79105447767894e-05,0.00065472991461819,0.000446192519000718,"Ap2b1/Arf1/Arpc1b/Arpc4/Cbl/Cblb/Cblc/Chmp1a/Chmp2a/Chmp2b/Chmp7/Cyth3/Dnm2/Eea1/Fgfr2/Git1/Hspa8/Iqsec1/Ldlr/Mvb12a/Pip5k1b/Pip5k1c/Psd/Rab10/Rab35/Rab5b/Rab5c/Rab7/Smap1/Snx2/Snx5/Spg21/Tgfbr2/Vps28/Vps35",35
"Human Diseases","Cancer: specific types","mmu05210","Colorectal cancer","17/685","88/11153",0.193181818181818,3.14533842070338,5.1683420303198,2.07578540326698e-05,0.000682933397674838,0.000465412937785124,"Akt1/Bad/Bax/Bbc3/Casp9/Fos/Gadd45a/Jun/Map2k1/Mapk1/Pik3cb/Polk/Rac3/Rala/Sos2/Tcf7l2/Tgfbr2",17
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis","22/685","136/11153",0.161764705882353,2.63381279519107,4.90376761876624,2.60419531341529e-05,0.000778891143739665,0.00053080727440905,"Akt1/Bad/Bax/Bbc3/Bcl2a1b/Bcl2l1/Capn1/Casp9/Csf2rb/Ctsf/Ctso/Fadd/Fos/Gadd45a/Itpr1/Jun/Map2k1/Mapk1/Nfkbia/Parp4/Pik3cb/Ptpn13",22
"Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection","30/685","222/11153",0.135135135135135,2.20023673308345,4.62065202229373,3.69232286174519e-05,0.00101231185126181,0.000689881376799759,"Akt1/Bax/Casp9/Csf2/Ep300/Fadd/Fos/Gnb1/Gng12/Gng5/Icam1/Ifngr1/Irf7/Itpr1/Jun/Map1lc3b/Map2k1/Mapk1/Mapk13/Mapkapk2/Nfatc1/Nfkbia/Pik3cb/Rcan1/Stat3/Tcf7l2/Tlr3/Ubb/Ubc/Vegfa",30
"Human Diseases","Cancer: specific types","mmu05221","Acute myeloid leukemia","14/685","70/11153",0.2,3.2563503649635,4.84414015565106,7.39962896779429e-05,0.00181534557280798,0.00123714159976995,"Akt1/Bad/Bcl2a1b/Cebpa/Csf1r/Csf2/Jup/Map2k1/Mapk1/Pik3cb/Pim1/Sos2/Stat3/Tcf7l2",14
"Genetic Information Processing","Folding, sorting and degradation","mmu04120","Ubiquitin mediated proteolysis","23/685","156/11153",0.147435897435897,2.40051469212053,4.50611908638336,7.72487477790629e-05,0.00181534557280798,0.00123714159976995,"Birc6/Cbl/Cblb/Cblc/Cul3/Ercc8/Fbxw7/Fbxw8/Mgrn1/Pias3/Rnf7/Siah1b/Socs3/Ubb/Ubc/Ube2d2a/Ube2f/Ube2g1/Ube2j1/Ube2j2/Ube2o/Ube2r2/Ube4b",23
"Cellular Processes","Cellular community - eukaryotes","mmu04510","Focal adhesion","27/685","202/11153",0.133663366336634,2.17627375876274,4.31565791842915,0.000107964025310421,0.0023680109551419,0.00161377806253471,"Actn1/Akt1/Bad/Col6a1/Emp2/Erbb2/Fn1/Itga6/Jun/Lamb1/Lamb2/Map2k1/Mapk1/Myl12a/Pak4/Pik3cb/Pip5k1b/Pip5k1c/Pxn/Rac3/Rock1/Shc1/Sos2/Thbs1/Vav2/Vegfa/Vegfb",27
"Cellular Processes","Cellular community - eukaryotes","mmu04520","Adherens junction","16/685","92/11153",0.173913043478261,2.83160901301174,4.51252165035002,0.000135082840259572,0.00264288474297901,0.00180110206448417,"Actn1/Arhgap29/Baiap2/Ccm2/Ep300/Erbb2/Mapk1/Myl12a/Nlk/Pdcd10/Ptpn1/Rac3/Rock1/Tcf7l2/Tgfbr2/Yes1",16
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis","28/685","217/11153",0.129032258064516,2.10087120320226,4.18915989155286,0.000149945532918091,0.00264288474297901,0.00180110206448417,"Akt1/Arhgef1/Bad/Bax/Bcl2l1/Casp9/Fos/Hspa8/Icam1/Irak4/Irf7/Itpr1/Jun/Lbp/Ldlr/Mapk1/Mapk13/Nfatc1/Nfkbia/Pik3cb/Pycard/Rxrb/Sod2/Stat3/Tab2/Tank/Vav2/Vldlr",28
