"gene","rho","p.value"
"Il34",1,0
"Eef2",0.894117647058823,3.01130992963742e-06
"Rps15",0.855882352941176,2.34491569272893e-05
"Flcn",0.841176470588235,4.44290429431383e-05
"Naca",0.83235294117647,6.32812457323256e-05
"Pradc1",0.829411764705882,7.08845406463995e-05
"Pvr",0.826470588235294,7.92354858224972e-05
"Bsdc1",0.823529411764706,8.83913936384217e-05
"Mff",0.811764705882353,0.00013432237477471
"Tmem230",0.805882352941176,0.000163846664736727
"Icam1",0.791176470588235,0.00026194644808246
"Rps18",0.791176470588235,0.00026194644808246
"Use1",0.791176470588235,0.00026194644808246
"Chchd7",0.788235294117647,0.000286465682391849
"Fabp5",0.785294117647059,0.000312853917886011
"Hbp1",0.785294117647059,0.000312853917886011
"Rpl37a",0.785294117647059,0.000312853917886011
"Prss8",0.782352941176471,0.000341220763964972
"Higd2a",0.779411764705882,0.000371680236478756
"Smim3",0.776470588235294,0.000404350840545469
"Ubxn6",0.776470588235294,0.000404350840545469
"Btbd1",0.773529411764706,0.00043935565171172
"2900052L18Rik",0.767647058823529,0.000516883524295922
"Actr8",0.767647058823529,0.000516883524295922
"B4galt3",0.767647058823529,0.000516883524295922
"Coasy",0.767647058823529,0.000516883524295922
"Rps4y2",0.767647058823529,0.000516883524295922
"Col6a1",0.761764705882353,0.000605342838070588
"Stk25",0.758823529411765,0.00065403023616479
"Abcb8",0.755882352941176,0.000705890586909894
"Tmem59",0.755882352941176,0.000705890586909894
"Cops3",0.752941176470588,0.000761081073194607
"Hmgxb3",0.752941176470588,0.000761081073194607
"Rpl29",0.752941176470588,0.000761081073194607
"Spg21",0.752941176470588,0.000761081073194607
"Ndufb5",0.75,0.000819764027255587
"Nfkbia",0.75,0.000819764027255587
"Rpl34",0.75,0.000819764027255587
"Ddi2",0.744117647058824,0.000948282785737868
"Eif3m",0.744117647058824,0.000948282785737868
"Mta1",0.741176470588235,0.00101846954957368
"Cd320",0.735294117647059,0.00117161553509918
"Uck2",0.735294117647059,0.00117161553509918
"Zdhhc4",0.735294117647059,0.00117161553509918
"Adrm1",0.732352941176471,0.00125495816615226
"Dcps",0.732352941176471,0.00125495816615226
